,co2,co2_detrended,rising
1958-03-29,316.1,0.33173315343884724,True
1958-04-05,317.3,1.524894697365255,True
1958-04-12,317.6,1.8180254614364912,True
1958-04-19,317.5,1.7111254720549027,True
1958-04-26,316.4,0.604194755612184,False
1958-05-03,316.9,1.0972333384893318,False
1958-05-10,317.2,1.3902412470565082,True
1958-05-17,317.5,1.683218507673189,True
1958-05-24,317.9,2.0761651466880267,True
1958-05-31,317.54999999999995,1.7190811904390557,False
1958-06-07,317.2,1.3619666652535898,False
1958-06-14,316.85,1.0048215974480286,False
1958-06-21,316.5,0.6476460133280852,False
1958-06-28,316.15,0.29043993918884325,False
1958-07-05,315.8,-0.06679659868535737,False
1958-07-12,315.8,-0.07406357402106778,False
1958-07-19,315.4,-0.4813609605554916,False
1958-07-26,315.5,-0.38868873203654175,False
1958-08-02,315.6,-0.29604686222290866,False
1958-08-09,315.1,-0.803435324883992,False
1958-08-16,315.0,-0.9108540938000829,False
1958-08-23,314.55,-1.3683031427619312,False
1958-08-30,314.1,-1.8257824455712353,False
1958-09-06,313.5,-2.4332919760404366,False
1958-09-13,313.44444444444446,-2.4963872635481152,False
1958-09-20,313.3888888888889,-2.559512726372702,False
1958-09-27,313.3333333333333,-2.6226683383587783,False
1958-10-04,313.27777777777777,-2.685854073361611,False
1958-10-11,313.22222222222223,-2.7490699052473246,False
1958-10-18,313.1666666666667,-2.8123158078927872,False
1958-10-25,313.1111111111111,-2.87559175518561,False
1958-11-01,313.05555555555554,-2.938897721024034,True
1958-11-08,313.0,-3.0022336793171007,True
1958-11-15,313.2,-2.810044048429063,True
1958-11-22,313.5,-2.5178843578460715,True
1958-11-29,314.0,-2.025754581509318,True
1958-12-06,314.5,-1.5336546933708064,True
1958-12-13,314.4,-1.6415846673934311,True
1958-12-20,314.7,-1.3495444775505234,True
1958-12-27,315.2,-0.8575340978263739,True
1959-01-03,315.2,-0.8655535022160166,True
1959-01-10,315.5,-0.5736026647250583,True
1959-01-17,315.6,-0.48168155937008805,True
1959-01-24,315.8,-0.2897901601781996,True
1959-01-31,315.4,-0.6979284411874005,True
1959-02-07,316.15,0.04390362355366051,True
1959-02-14,316.9,0.7857060599855572,True
1959-02-21,316.6,0.47747889403819954,True
1959-02-28,316.6,0.46922215163061765,True
1959-03-07,316.8,0.6609358586711096,False
1959-03-14,316.75,0.6026200410573779,False
1959-03-21,316.7,0.5442747246763133,True
1959-03-28,316.7,0.5358999354040179,True
1959-04-04,317.7,1.5274956991058843,True
1959-04-11,317.1,0.9190620416366073,True
1959-04-18,317.6,1.4105989888400359,True
1959-04-25,318.3,2.1021065665493666,True
1959-05-02,318.2,1.9935848005870866,True
1959-05-09,318.7,2.4850337167648604,True
1959-05-16,318.0,1.77645334088362,False
1959-05-23,318.4,2.167843698733577,False
1959-05-30,318.45,2.209204816094257,False
1959-06-06,318.5,2.250536718734395,False
1959-06-13,318.1,1.8418394324119163,False
1959-06-20,317.8,1.5331129828740586,False
1959-06-27,317.7,1.4243573958573847,False
1959-07-04,316.8,0.5155726970876913,False
1959-07-11,316.8,0.5067589122799632,False
1959-07-18,316.4,0.09791606713844203,False
1959-07-25,316.1,-0.21095581264313523,False
1959-08-01,315.6,-0.7198567013821844,False
1959-08-08,314.9,-1.4287865734066258,False
1959-08-15,314.95,-1.3877454030549075,False
1959-08-22,315.0,-1.3467331646766638,False
1959-08-29,314.1,-2.2557498326319205,False
1959-09-05,314.4,-1.9647953812916512,False
1959-09-12,313.9,-2.4738697850374933,False
1959-09-19,313.5,-2.882973018261737,False
1959-09-26,313.5,-2.8921050553675514,False
1959-10-03,313.0,-3.401265870768839,False
1959-10-10,313.1,-3.3104554388901306,True
1959-10-17,313.4,-3.0196737341668154,True
1959-10-24,313.4,-3.0289207310448774,True
1959-10-31,314.1,-2.3381964039812146,True
1959-11-07,314.4,-2.0475007274434347,True
1959-11-14,314.8,-1.656833675909695,True
1959-11-21,315.2,-1.266195223869147,True
1959-11-28,315.1,-1.3755853458214915,True
1959-12-05,315.0,-1.485004016277344,True
1959-12-12,315.6,-0.8944512097579036,True
1959-12-19,315.8,-0.7039269007951816,True
1959-12-26,315.7,-0.8134310639319438,True
1960-01-02,315.7,-0.822963673721631,True
1960-01-09,316.4,-0.1325247047284961,True
1960-01-16,316.7,0.15788586847253328,True
1960-01-23,316.5,-0.051731928704327856,True
1960-01-30,316.6,0.038621929144596834,True
1960-02-06,316.6,0.028947467412024253,True
1960-02-13,316.9,0.31924471147993927,True
1960-02-20,317.4,0.8095136867199244,True
1960-02-27,317.0,0.3997544184924209,True
1960-03-05,316.9,0.28996693214725155,True
1960-03-12,317.7,1.0801512530236437,True
1960-03-19,318.0,1.3703074064498537,True
1960-03-26,317.7,1.0604354177435766,True
1960-04-02,318.6,1.9505353122117413,True
1960-04-09,319.3,2.640607115150374,True
1960-04-16,319.0,2.3306508518449505,True
1960-04-23,319.0,2.3206665475701698,True
1960-04-30,319.7,3.010654227589896,True
1960-05-07,319.9,3.2006139171573977,True
1960-05-14,319.8,3.0905456415151207,True
1960-05-21,320.0,3.2804494258946306,True
1960-05-28,320.0,3.2703252955170683,False
1960-06-04,319.4,2.6601732755925127,False
1960-06-11,320.0,3.2499933913205723,False
1960-06-18,319.4,2.639785667889896,False
1960-06-25,319.0,2.2295501304786285,False
1960-07-02,318.1,1.3192868042538635,False
1960-07-09,318.6,1.8089957143722017,False
1960-07-16,318.4,1.598676885979387,False
1960-07-23,317.9,1.088330344210533,False
1960-07-30,317.3,0.47795611418996486,False
1960-08-06,316.6,-0.2324457789688381,False
1960-08-13,316.7,-0.14287531016310595,False
1960-08-20,315.1,-1.7533324543006188,False
1960-08-27,314.7,-2.1638171863001503,False
1960-09-03,314.7,-2.1743294810910356,False
1960-09-10,314.5,-2.3848693136134216,False
1960-09-17,314.2,-2.6954366588182097,False
1960-09-24,313.3,-3.606031491667011,False
1960-10-01,313.6,-3.316653787132168,False
1960-10-08,313.3,-3.627303520196847,True
1960-10-15,313.9,-3.0379806658548887,True
1960-10-22,314.2,-2.7486851991108097,True
1960-10-29,314.2,-2.7594170949799377,True
1960-11-05,314.5,-2.470176328488378,True
1960-11-12,315.1,-1.880962874672889,True
1960-11-19,315.1,-1.8917767085811192,True
1960-11-26,315.4,-1.6026178052713362,True
1960-12-03,315.8,-1.213486139812403,True
1960-12-10,316.0,-1.02438168728429,True
1960-12-17,316.2,-0.8353044227774262,True
1960-12-24,316.4,-0.6462543213930303,True
1960-12-31,316.6,-0.4572313582430638,True
1961-01-07,316.7,-0.36823550845036834,True
1961-01-14,317.0,-0.079266747148381,True
1961-01-21,317.0,-0.09032504948123687,True
1961-01-28,317.0,-0.10141039060397361,True
1961-02-04,317.0,-0.1125227456822131,True
1961-02-11,317.7,0.5763379101074975,True
1961-02-18,317.9,0.7651716015781176,True
1961-02-25,318.0,0.8539783535317156,True
1961-03-04,318.0,0.8427581907595254,True
1961-03-11,318.5,1.3315111380422877,True
1961-03-18,318.9,1.7202372201497838,True
1961-03-25,318.7,1.5089364618411878,True
